artifact_name,object_type
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,颜色釉瓷
青白釉刻花婴戏莲花纹碗,器皿
青白釉刻花婴戏莲花纹碗,碗（容器）
青白釉刻花婴戏莲花纹碗,瓷碗
青白釉刻花婴戏莲花纹碗,瓷（陶瓷）
青白釉刻花婴戏莲花纹碗,青白瓷
青白釉刻花婴戏莲花纹碗,青白釉碗
青白釉刻花婴戏莲花纹碗,陶瓷
青白釉刻花婴戏莲花纹碗,颜色釉瓷
龙泉窑青釉刻花尊,礼器
龙泉窑青釉刻花尊,尊（容器）
龙泉窑青釉刻花尊,瓷尊
龙泉窑青釉刻花尊,瓷（陶瓷）
龙泉窑青釉刻花尊,青瓷
龙泉窑青釉刻花尊,青釉尊
龙泉窑青釉刻花尊,陶瓷
龙泉窑青釉刻花尊,颜色釉瓷
龙泉窑青釉刻花尊,仪式用容器
青花缠枝莲纹折沿盆,青花瓷
青花缠枝莲纹折沿盆,器皿
青花缠枝莲纹折沿盆,盆（容器）
青花缠枝莲纹折沿盆,瓷盆
青花缠枝莲纹折沿盆,彩瓷
青花缠枝莲纹折沿盆,瓷（陶瓷）
青花缠枝莲纹折沿盆,明青花
青花缠枝莲纹折沿盆,青花盆
青花缠枝莲纹折沿盆,陶瓷
青花缠枝莲纹折沿盆,宣德青花
青花缠枝莲纹折沿盆,釉下彩瓷
青花缠枝莲纹折沿盆,折沿盆
青花缠枝牡丹纹壶,青花瓷
青花缠枝牡丹纹壶,器皿
青花缠枝牡丹纹壶,壶（容器）
青花缠枝牡丹纹壶,瓷壶
青花缠枝牡丹纹壶,彩瓷
青花缠枝牡丹纹壶,瓷（陶瓷）
青花缠枝牡丹纹壶,明青花
青花缠枝牡丹纹壶,青花壶
青花缠枝牡丹纹壶,陶瓷
青花缠枝牡丹纹壶,永乐青花
青花缠枝牡丹纹壶,釉下彩瓷
青花荷莲纹碗,青花瓷
青花荷莲纹碗,器皿
青花荷莲纹碗,碗（容器）
青花荷莲纹碗,瓷碗
青花荷莲纹碗,彩瓷
青花荷莲纹碗,成化青花
青花荷莲纹碗,瓷（陶瓷）
青花荷莲纹碗,明青花
青花荷莲纹碗,青花碗
青花荷莲纹碗,陶瓷
青花荷莲纹碗,釉下彩瓷
弘治款青花莲池游龙纹碗,青花瓷
弘治款青花莲池游龙纹碗,器皿
弘治款青花莲池游龙纹碗,碗（容器）
弘治款青花莲池游龙纹碗,瓷碗
弘治款青花莲池游龙纹碗,彩瓷
弘治款青花莲池游龙纹碗,瓷（陶瓷）
弘治款青花莲池游龙纹碗,明青花
弘治款青花莲池游龙纹碗,青花碗
弘治款青花莲池游龙纹碗,陶瓷
弘治款青花莲池游龙纹碗,釉下彩瓷
龙泉窑青釉带盖执壶,撇足
龙泉窑青釉带盖执壶,盖（形制）
龙泉窑青釉带盖执壶,圆盖
龙泉窑青釉带盖执壶,口（形制）
龙泉窑青釉带盖执壶,直口
龙泉窑青釉带盖执壶,腹（形制）
龙泉窑青釉带盖执壶,垂腹
龙泉窑青釉带盖执壶,足（形制）
龙泉窑青釉带盖执壶,圈足
龙泉窑青釉带盖执壶,流（形制）
龙泉窑青釉带盖执壶,长流
龙泉窑青釉带盖执壶,柄（形制）
龙泉窑青釉带盖执壶,曲柄
哥窑青釉碗,器皿
哥窑青釉碗,碗（容器）
哥窑青釉碗,瓷碗
哥窑青釉碗,瓷（陶瓷）
哥窑青釉碗,青瓷
哥窑青釉碗,青釉碗
哥窑青釉碗,陶瓷
哥窑青釉碗,颜色釉瓷
哥窑青釉八方杯,八方杯
哥窑青釉八方杯,器皿
哥窑青釉八方杯,杯（容器）
哥窑青釉八方杯,瓷杯
哥窑青釉八方杯,瓷（陶瓷）
哥窑青釉八方杯,青瓷
哥窑青釉八方杯,青釉杯
哥窑青釉八方杯,陶瓷
哥窑青釉八方杯,颜色釉瓷
哥窑青灰釉葵瓣口盘,瓷器
哥窑青灰釉葵瓣口盘,盘（容器）
哥窑青灰釉葵瓣口盘,瓷盘
哥窑青灰釉葵瓣口盘,葵口盘
哥窑青灰釉葵瓣口盘,瓷（陶瓷）
哥窑青灰釉葵瓣口盘,陶瓷
哥窑米黄釉葵瓣口盘,盘（容器）
哥窑米黄釉葵瓣口盘,瓷盘
