artifact_name,form
龙泉窑青釉刻花尊,腹（形制）
龙泉窑青釉刻花尊,鼓腹
龙泉窑青釉刻花尊,足（形制）
龙泉窑青釉刻花尊,圈足
龙泉窑青釉刻花尊,颈（形制）
龙泉窑青釉刻花尊,长颈
龙泉窑青釉刻花尊,肩（形制）
龙泉窑青釉刻花尊,丰肩
青花缠枝莲纹折沿盆,口（形制）
青花缠枝莲纹折沿盆,口沿
青花缠枝莲纹折沿盆,折沿
青花缠枝莲纹折沿盆,腹（形制）
青花缠枝莲纹折沿盆,深腹
青花缠枝莲纹折沿盆,底（形制）
青花缠枝莲纹折沿盆,平底
青花缠枝牡丹纹壶,撇足
青花缠枝牡丹纹壶,口（形制）
青花缠枝牡丹纹壶,盘口
青花缠枝牡丹纹壶,腹（形制）
青花缠枝牡丹纹壶,垂腹
青花缠枝牡丹纹壶,足（形制）
青花缠枝牡丹纹壶,高足
青花缠枝牡丹纹壶,流（形制）
青花缠枝牡丹纹壶,管形流
青花缠枝牡丹纹壶,颈（形制）
青花缠枝牡丹纹壶,束颈
青花荷莲纹碗,口（形制）
青花荷莲纹碗,撇口
青花荷莲纹碗,腹（形制）
青花荷莲纹碗,弧腹
青花荷莲纹碗,深弧腹
青花荷莲纹碗,足（形制）
青花荷莲纹碗,圈足
弘治款青花莲池游龙纹碗,口（形制）
弘治款青花莲池游龙纹碗,撇口
弘治款青花莲池游龙纹碗,腹（形制）
弘治款青花莲池游龙纹碗,弧腹
弘治款青花莲池游龙纹碗,深弧腹
弘治款青花莲池游龙纹碗,足（形制）
弘治款青花莲池游龙纹碗,圈足
龙泉窑青釉带盖执壶,FormAndStructure
哥窑青釉碗,口（形制）
哥窑青釉碗,敞口
哥窑青釉碗,腹（形制）
哥窑青釉碗,弧腹
哥窑青釉碗,深弧腹
哥窑青釉碗,足（形制）
哥窑青釉碗,圈足
哥窑青釉八方杯,几何体造型
哥窑青釉八方杯,方形（造型）
哥窑青釉八方杯,八方形（造型）
哥窑青釉八方杯,口（形制）
哥窑青釉八方杯,撇口
哥窑青釉八方杯,腹（形制）
哥窑青釉八方杯,弧腹
哥窑青釉八方杯,深弧腹
哥窑青釉八方杯,足（形制）
哥窑青釉八方杯,圈足
哥窑青灰釉葵瓣口盘,口（形制）
哥窑青灰釉葵瓣口盘,花式口
哥窑青灰釉葵瓣口盘,六瓣花式口
哥窑青灰釉葵瓣口盘,葵瓣式口
哥窑青灰釉葵瓣口盘,敞口
哥窑青灰釉葵瓣口盘,腹（形制）
哥窑青灰釉葵瓣口盘,弧腹
哥窑青灰釉葵瓣口盘,浅弧腹
哥窑青灰釉葵瓣口盘,足（形制）
哥窑青灰釉葵瓣口盘,圈足
哥窑米黄釉葵瓣口盘,口（形制）
哥窑米黄釉葵瓣口盘,花式口
哥窑米黄釉葵瓣口盘,六瓣花式口
哥窑米黄釉葵瓣口盘,葵瓣式口
哥窑米黄釉葵瓣口盘,腹（形制）
哥窑米黄釉葵瓣口盘,弧腹
哥窑米黄釉葵瓣口盘,浅弧腹
哥窑米黄釉葵瓣口盘,足（形制）
哥窑米黄釉葵瓣口盘,圈足
哥窑青灰釉菊瓣式盘,口（形制）
哥窑青灰釉菊瓣式盘,花式口
哥窑青灰釉菊瓣式盘,十四瓣花式口
哥窑青灰釉菊瓣式盘,菊瓣式口
哥窑青灰釉菊瓣式盘,敞口
哥窑青灰釉菊瓣式盘,腹（形制）
哥窑青灰釉菊瓣式盘,弧腹
哥窑青灰釉菊瓣式盘,浅弧腹
哥窑青灰釉菊瓣式盘,足（形制）
哥窑青灰釉菊瓣式盘,圈足
哥窑青灰釉葵瓣口洗,口（形制）
哥窑青灰釉葵瓣口洗,花式口
哥窑青灰釉葵瓣口洗,八瓣花式口
哥窑青灰釉葵瓣口洗,葵瓣式口
哥窑青灰釉葵瓣口洗,敞口
哥窑青灰釉葵瓣口洗,腹（形制）
哥窑青灰釉葵瓣口洗,直腹
哥窑青灰釉葵瓣口洗,足（形制）
哥窑青灰釉葵瓣口洗,圈足
哥窑青灰釉葵瓣口洗,矮圈足
哥窑青灰釉葵瓣口洗,底（形制）
哥窑青灰釉葵瓣口洗,平底
哥窑青釉海棠花式盆,口（形制）
哥窑青釉海棠花式盆,口沿
哥窑青釉海棠花式盆,花式口
哥窑青釉海棠花式盆,四瓣花式口
哥窑青釉海棠花式盆,海棠式口
哥窑青釉海棠花式盆,撇口
哥窑青釉海棠花式盆,腹（形制）
哥窑青釉海棠花式盆,深腹
哥窑青釉海棠花式盆,足（形制）
哥窑青釉海棠花式盆,四足
哥窑青釉海棠花式盆,底（形制）
哥窑青釉海棠花式盆,平底
哥窑青釉双耳彝炉,口（形制）
哥窑青釉双耳彝炉,撇口
哥窑青釉双耳彝炉,腹（形制）
哥窑青釉双耳彝炉,鼓腹
哥窑青釉双耳彝炉,扁腹
哥窑青釉双耳彝炉,足（形制）
哥窑青釉双耳彝炉,圈足
哥窑青釉双耳彝炉,唇（形制）
哥窑青釉双耳彝炉,尖唇
哥窑青釉双耳彝炉,颈（形制）
哥窑青釉双耳彝炉,束颈
哥窑青釉双耳彝炉,耳（形制）
哥窑青釉双耳彝炉,双耳
哥窑青釉双耳彝炉,鱼形耳
哥窑青釉贯耳瓶,口（形制）
哥窑青釉贯耳瓶,直口
哥窑青釉贯耳瓶,腹（形制）
哥窑青釉贯耳瓶,鼓腹
哥窑青釉贯耳瓶,足（形制）
哥窑青釉贯耳瓶,圈足
哥窑青釉贯耳瓶,溜肩
哥窑青釉贯耳瓶,颈（形制）
哥窑青釉贯耳瓶,长颈
哥窑青釉贯耳瓶,肩（形制）
哥窑青釉贯耳瓶,耳（形制）
哥窑青釉贯耳瓶,贯耳
哥窑米色釉胆式瓶,口（形制）
哥窑米色釉胆式瓶,小口
哥窑米色釉胆式瓶,腹（形制）
哥窑米色釉胆式瓶,垂腹
哥窑米色釉胆式瓶,足（形制）
哥窑米色釉胆式瓶,圈足
哥窑米色釉胆式瓶,溜肩
哥窑米色釉胆式瓶,颈（形制）
哥窑米色釉胆式瓶,细颈
哥窑米色釉胆式瓶,肩（形制）
哥窑青釉贯耳瓶,椭圆形（造型）
哥窑青釉贯耳瓶,口（形制）
哥窑青釉贯耳瓶,撇口
哥窑青釉贯耳瓶,腹（形制）
哥窑青釉贯耳瓶,垂腹
哥窑青釉贯耳瓶,足（形制）
哥窑青釉贯耳瓶,圈足
哥窑青釉贯耳瓶,颈（形制）
哥窑青釉贯耳瓶,束颈
哥窑青釉贯耳瓶,耳（形制）
哥窑青釉贯耳瓶,贯耳
龙泉窑青釉盘口瓶,FormAndStructure
